"sivil_status","bosted","antall_barn","kjonn","landsdel","utdannelse","fodselar","interess_i_politikk","sosial_tillit","lifs_tifredshet","endring_i_tygghet","tillit_til_politikere","tillit_til_media","inntekt","politisk_orientering","har_barn","alder"
"Enke/enkemann","Ikke spurt","0","kvinne","Vestlandet","Hogskole/Universitet","1940-1949","Noe interessert",8,"Svært tilfreds","Noe mer utrygt","I stor grad","I stor grad",4,3,"har ikke barn",70
"Gift/juridisk registrert partner","Ikke spurt","0","kvinne","Sorlandet","Videregaende skole","1950-1959","Noe interessert",8,"Tilfreds","Ingen endring i tryggheten","I noen grad","I noen grad",2,1,"har ikke barn",60
"Ikke spurt","Ikke spurt","Ikke spurt","kvinne","Vestlandet","Videregaende skole","1950-1959","Ikke spurt",10,"Svært tilfreds","Ikke spurt","I stor grad","I stor grad",4,6,"NA",60
"Ikke spurt","Ikke spurt","Ikke spurt","kvinne","Ostlandet","Hogskole/Universitet","1940-1949","Ikke spurt",10,"Svært tilfreds","Ikke spurt","I noen grad","I stor grad",7,3,"NA",70
"Gift/juridisk registrert partner","Ikke spurt","2","kvinne","Ostlandet","Hogskole/Universitet","1970-1979","Noe interessert",9,"Tilfreds","Ingen endring i tryggheten","I stor grad","I stor grad",7,5,"har barn",40
"Skilt/separert/tidligere juridisk registrert partner","Ikke spurt","0","kvinne","Ostlandet","Videregaende skole","1960-1969","Noe interessert",7,"Noe tilfreds","Ingen endring i tryggheten","I liten grad","I noen grad",2,5,"har ikke barn",50
"Gift/juridisk registrert partner","Ikke spurt","0","mann","Sorlandet","Videregaende skole","1960-1969","Svært Interessert",9,"Svært tilfreds","Ingen endring i tryggheten","I stor grad","I stor grad",7,5,"har ikke barn",50
"Gift/juridisk registrert partner","Ikke spurt","0","mann","Vestlandet","Videregaende skole","1950-1959","Noe interessert",7,"Tilfreds","Noe mer utrygt","I noen grad","I noen grad",2,2,"har ikke barn",60
"Ikke spurt","Ikke spurt","Ikke spurt","kvinne","Oslo","Hogskole/Universitet","1960-1969","Ikke spurt",5,"Noe tilfreds","Ikke spurt","I liten grad","I noen grad",2,5,"NA",50
"Gift/juridisk registrert partner","Ikke spurt","0","kvinne","Trondelag","Hogskole/Universitet","1960-1969","Noe interessert",5,"Tilfreds","Ingen endring i tryggheten","I noen grad","I stor grad",5,2,"har ikke barn",50
"Gift/juridisk registrert partner","Ikke spurt","0","mann","Vestlandet","Hogskole/Universitet","1960-1969","Lite interessert",7,"Svært tilfreds","Noe tryggere","I noen grad","I noen grad",4,4,"har ikke barn",50
"Gift/juridisk registrert partner","Ikke spurt","0","kvinne","Vestlandet","Hogskole/Universitet","1960-1969","Interessert",7,"Tilfreds","Ingen endring i tryggheten","I noen grad","I stor grad",8,3,"har ikke barn",50
"Ikke spurt","Ikke spurt","Ikke spurt","kvinne","Ostlandet","Hogskole/Universitet","1950-1959","Ikke spurt",9,"Tilfreds","Ikke spurt","I noen grad","I stor grad",7,3,"NA",60
"Gift/juridisk registrert partner","Ikke spurt","0","kvinne","Ostlandet","Hogskole/Universitet","1950-1959","Interessert",8,"Svært tilfreds","Ingen endring i tryggheten","I noen grad","I noen grad",5,2,"har ikke barn",60
"Gift/juridisk registrert partner","Ikke spurt","0","kvinne","Vestlandet","Hogskole/Universitet","1950-1959","Interessert",5,"Tilfreds","Ingen endring i tryggheten","I liten grad","I liten grad",3,7,"har ikke barn",60
"Gift/juridisk registrert partner","Ikke spurt","0","kvinne","Ostlandet","Hogskole/Universitet","1950-1959","Interessert",8,"Tilfreds","Ingen endring i tryggheten","I noen grad","I stor grad",6,2,"har ikke barn",60
"Gift/juridisk registrert partner","Ikke spurt","0","mann","Vestlandet","Hogskole/Universitet","1950-1959","Noe interessert",7,"Tilfreds","Ingen endring i tryggheten","I noen grad","I noen grad",5,7,"har ikke barn",60
"Gift/juridisk registrert partner","Ikke spurt","0","kvinne","Vestlandet","Videregaende skole","1939 eller tidligere","Svært Interessert",8,"Svært tilfreds","Ingen endring i tryggheten","I noen grad","I noen grad",2,6,"har ikke barn",80
"Ikke spurt","Ikke spurt","Ikke spurt","kvinne","Vestlandet","Videregaende skole","1950-1959","Ikke spurt",7,"Svært tilfreds","Ikke spurt","I liten grad","I noen grad",3,3,"NA",60
